Дата,Лесная,Просвящения,Купчино,Автобус,Автобус ночёвки
2017-01-01,,,,,
2017-01-02,,,,22,
2017-01-03,12,10,,,
2017-01-04,14,11,7,23,
2017-01-05,21,10,,,
2017-01-06,19,20,7,20,
2017-01-07,,,,,
2017-01-08,,,,,
2017-01-09,19,10,,33,
2017-01-10,23,17,,,
2017-01-11,25,5,6,35,
2017-01-12,18,14,,,
2017-01-13,24,18,5,38,
2017-01-14,,,,,
2017-01-15,,,,,
2017-01-16,18,11,,42,
2017-01-17,25,12,,,
2017-01-18,22,12,5,37,
2017-01-19,16,20,,,
2017-01-20,19,15,4,41,
2017-01-21,,,,,
2017-01-22,,,,,
2017-01-23,19,16,,43,
2017-01-24,18,20,,,
2017-01-25,18,12,6,36,
2017-01-26,14,19,,,
2017-01-27,13,18,6,32,
2017-01-28,,,,,
2017-01-29,,,,,
2017-01-30,,16,5,35,
2017-01-31,14,17,,,
2017-02-01,14,22,7,30,
2017-02-02,15,13,,,
2017-02-03,19,20,6,35,
2017-02-04,,,,,
2017-02-05,,,,,
2017-02-06,14,22,6,38,
2017-02-07,20,20,,,
2017-02-08,16,20,6,39,
2017-02-09,16,28,,,
2017-02-10,19,24,6,42,
2017-02-11,,,,,
2017-02-12,,,,,
2017-02-13,19,20,6,41,
2017-02-14,24,19,,,
2017-02-15,19,20,6,45,
2017-02-16,19,21,,,
2017-02-17,17,22,6,42,
2017-02-18,,,,,
2017-02-19,,,,,
2017-02-20,16,19,5,41,
2017-02-21,17,15,,,
2017-02-22,12,14,5,31,
2017-02-23,12,18,,,
2017-02-24,17,17,4,29,
2017-02-25,,,,,
2017-02-26,,,,,
2017-02-27,9,17,4,42,
2017-02-28,13,15,,,
2017-03-01,14,17,5,32,
2017-03-02,14,17,5,,
2017-03-03,17,19,5,35,
2017-03-04,,,,,
2017-03-05,,,,,
2017-03-06,9,12,4,42,
2017-03-07,9,18,,,
2017-03-08,7,12,5,43,
2017-03-09,17,19,,,
2017-03-10,11,17,5,37,
2017-03-11,,,,,
2017-03-12,,,,,
2017-03-13,18,12,5,48,
2017-03-14,13,16,,,
2017-03-15,9,11,5,49,
2017-03-16,11,15,4,,
2017-03-17,13,18,5,39,
2017-03-18,,,,,
2017-03-19,,,,,
2017-03-20,13,13,6,29,
2017-03-21,11,13,,,
2017-03-22,13,15,5,39,
2017-03-23,11,12,,,
2017-03-24,11,18,5,,
2017-03-25,,,,,
2017-03-26,,,,,
2017-03-27,14,17,5,28,
2017-03-28,17,13,,,
2017-03-29,13,15,5,29,
2017-03-30,12,15,,,
2017-03-31,15,23,5,24,
2017-04-01,,,,,
2017-04-02,,,,,
2017-04-03,9,18,4,21,
2017-04-04,19,18,,,
2017-04-05,15,17,5,31,
2017-04-06,15,20,4,,
2017-04-07,18,26,5,35,
2017-04-08,,,,,
2017-04-09,,,,,
2017-04-10,16,22,5,29,
2017-04-11,18,13,,,
2017-04-12,15,18,4,26,
2017-04-13,20,17,,,
2017-04-14,24,22,6,30,
2017-04-15,,,,,
2017-04-16,,,,,
2017-04-17,25,16,4,24,
2017-04-18,27,13,,,
2017-04-19,27,15,5,28,
2017-04-20,27,17,,,
2017-04-21,26,10,5,27,
2017-04-22,,,,,
2017-04-23,,,,,
2017-04-24,27,11,5,36,
2017-04-25,23,14,,,
2017-04-26,17,14,6,32,
2017-04-27,21,18,,,
2017-04-28,17,25,4,27,
2017-04-29,,,,,
2017-04-30,,,,,
2017-05-01,12,12,3,27,16
2017-05-02,18,23,,,
2017-05-03,20,23,3,33,17
2017-05-04,18,25,,,
2017-05-05,22,19,8,32,12
2017-05-06,,,,,
2017-05-07,,,,,
2017-05-08,23,27,6,18,14
2017-05-09,21,19,,,
2017-05-10,15,16,6,26,16
2017-05-11,15,13,,,
2017-05-12,12,23,7,36,19
2017-05-13,,,,,
2017-05-14,,,,,
2017-05-15,19,21,4,31,17
2017-05-16,10,17,,,
2017-05-17,10,15,5,37,18
2017-05-18,13,20,,,
2017-05-19,9,17,6,47,
2017-05-20,,,5,,
2017-05-21,,,,,
2017-05-22,19,9,4,29,8
2017-05-23,26,10,,,
2017-05-24,15,16,4,31,16
2017-05-25,22,16,,,
2017-05-26,22,18,7,38,17
2017-05-27,,,6,,
2017-05-28,,,,,
2017-05-29,16,22,7,32,19
2017-05-30,22,19,,,
2017-05-31,16,11,5,,
2017-06-01,17,17,,,
2017-06-02,,,8,,
2017-06-03,,,7,,
2017-06-04,,,,,
2017-06-05,,,4,28,11
2017-06-06,15,21,,,
2017-06-07,,,5,,
2017-06-08,10,20,,,
2017-06-09,,,6,,
2017-06-10,,,7,,
2017-06-11,,,,,
2017-06-12,,,8,15,0
2017-06-13,16,17,,,
2017-06-14,,,7,,
2017-06-15,15,15,,,
2017-06-16,,,7,,
2017-06-17,,,4,,
2017-06-18,,,,,
2017-06-19,,,6,24,0
2017-06-20,10,17,,,
2017-06-21,,,7,,
2017-06-22,15,22,,,
2017-06-23,,,5,,
2017-06-24,,,6,,
2017-06-25,,,,,
2017-06-26,,,7,9,6
2017-06-27,19,24,,,
2017-06-28,,,7,,
2017-06-29,17,22,,,
2017-06-30,,,9,,
2017-07-01,,,9,,
2017-07-02,,,,,
2017-07-03,,,8,21,12
2017-07-04,16,23,,,
2017-07-05,,,8,,
2017-07-06,17,16,,,
2017-07-07,,,9,,
2017-07-08,,,7,,
2017-07-09,,,,,
2017-07-10,,,8,12,6
2017-07-11,20,18,,,
2017-07-12,,,8,,
2017-07-13,5,23,,,
2017-07-14,,,8,,
2017-07-15,,,8,,
2017-07-16,,,,,
2017-07-17,,,7,19,6
2017-07-18,13,20,,,
2017-07-19,,,6,,
2017-07-20,12,25,,,
2017-07-21,,,7,,
2017-07-22,,,6,,
2017-07-23,,,,,
2017-07-24,,,10,32,14
2017-07-25,20,22,,,
2017-07-26,,,8,,
2017-07-27,8,8,,,
2017-07-28,,,8,,
2017-07-29,,,8,,
2017-07-30,,,,,
2017-07-31,,,8,23,8
2017-08-01,11,18,,,
2017-08-02,,,8,,
2017-08-03,19,18,,,
2017-08-04,,,8,,
2017-08-05,,,6,,
2017-08-06,,,,,
2017-08-07,,,7,,
2017-08-08,21,18,,,
2017-08-09,,,7,,
2017-08-10,19,21,,,
2017-08-11,,,8,,
2017-08-12,,,5,,
2017-08-13,,,,,
2017-08-14,,,6,12,
2017-08-15,15,18,,,
2017-08-16,,,4,,
2017-08-17,11,12,,,
2017-08-18,,,4,,
2017-08-19,,,5,,
2017-08-20,,,,,
2017-08-21,,,4,18,4
2017-08-22,18,14,,,
2017-08-23,,,5,,
2017-08-24,,18,,,
2017-08-25,,,5,,
2017-08-26,,,5,,
2017-08-27,,,,,
2017-08-28,,,4,18,9
2017-08-29,29,16,,,
2017-08-30,,,5,,
2017-08-31,19,21,,,
2017-09-01,,,5,,
2017-09-02,,,5,,
2017-09-03,,,,,
2017-09-04,15,14,4,25,7
2017-09-05,18,21,,,
2017-09-06,13,18,6,,
2017-09-07,17,18,,,
2017-09-08,13,18,4,,
2017-09-09,,,3,,
2017-09-10,,,,,
2017-09-11,23,18,4,36,8
2017-09-12,23,30,,,
2017-09-13,21,19,3,,
2017-09-14,18,18,,,
2017-09-15,21,19,3,,
2017-09-16,,,3,,
2017-09-17,,,,,
2017-09-18,7,11,4,28,14
2017-09-19,22,19,,,
2017-09-20,19,15,5,,
2017-09-21,19,15,,,
2017-09-22,19,14,4,,
2017-09-23,,,5,,
2017-09-24,,,,,
2017-09-25,16,13,4,24,8
2017-09-26,16,14,,,
2017-09-27,22,18,5,,
2017-09-28,20,22,,,
2017-09-29,16,19,5,,
2017-09-30,90,86,6,,
2017-10-01,,,,,
2017-10-02,18,25,,21,11
2017-10-03,23,21,,,
2017-10-04,14,25,7,,
2017-10-05,17,20,,,
2017-10-06,17,15,6,,
2017-10-07,,,6,,
2017-10-08,,,,,
2017-10-09,10,22,5,26,15
2017-10-10,19,22,,,
2017-10-11,23,21,7,,
2017-10-12,15,24,,,
2017-10-13,14,22,7,,
2017-10-14,,,,,
2017-10-15,,,,,
2017-10-16,19,15,5,24,10
2017-10-17,23,15,,,
2017-10-18,19,22,8,,
2017-10-19,20,11,,,
2017-10-20,18,14,8,,
2017-10-21,,,,,
2017-10-22,,,,,
2017-10-23,9,17,6,15,11
2017-10-24,16,11,,,
2017-10-25,18,21,7,,
2017-10-26,6,17,,,
2017-10-27,15,21,8,26,21
2017-10-28,,,,,
2017-10-29,,,,,
2017-10-30,18,17,11,21,11
2017-10-31,19,17,,,
2017-11-01,18,16,10,,
2017-11-02,14,17,,,
2017-11-03,13,22,7,12,7
2017-11-04,,,,,
2017-11-05,,,,,
2017-11-06,8,14,12,16,9
2017-11-07,22,17,,,
2017-11-08,25,11,8,,
2017-11-09,29,18,,,
2017-11-10,25,22,10,18,7
2017-11-11,,,,,
2017-11-12,,,,,
2017-11-13,26,16,7,25,9
2017-11-14,32,19,,,
2017-11-15,25,20,9,,
2017-11-16,24,15,,,
2017-11-17,24,14,10,19,7
2017-11-18,,,,,
2017-11-19,,,,,
2017-11-20,12,22,8,22,12
2017-11-21,19,16,,,
2017-11-22,22,21,9,,
2017-11-23,22,19,,,
2017-11-24,20,22,9,26,9
2017-11-25,,,,,
2017-11-26,,,,,
2017-11-27,18,14,5,25,15
2017-11-28,19,18,,,
2017-11-29,21,22,8,,
2017-11-30,24,22,,,
2017-12-01,23,18,9,21,16
2017-12-02,,,,,
2017-12-03,,,,,
2017-12-04,22,17,7,32,11
2017-12-05,18,19,,,
2017-12-06,19,23,9,,
2017-12-07,18,19,,,
2017-12-08,19,17,10,18,7
2017-12-09,,,,,
2017-12-10,,,,,
2017-12-11,22,20,12,25,10
2017-12-12,9,16,,,
2017-12-13,23,23,9,,
2017-12-14,22,19,,,
2017-12-15,18,23,11,20,7
2017-12-16,,,,,
2017-12-17,,,,,
2017-12-18,18,12,10,28,13
2017-12-19,14,24,,,
2017-12-20,20,18,13,,
2017-12-21,11,18,,,
2017-12-22,11,27,11,32,17
2017-12-23,,,,,
2017-12-24,,,,,
2017-12-25,16,18,11,28,11
2017-12-26,15,22,,,
2017-12-27,16,16,9,,
2017-12-28,13,15,,,
2017-12-29,14,23,8,22,11
2017-12-30,,,,,
2017-12-31,,,,,
