Месяц-год;Дней;В_Просвет;В_Лесная;В_Купчино;В_Автобус;ВН_Автобус;С_Просвет;С_Лесная;С_Купчино;С_Автобус;СН_Автобус
Январь 17;31;357;286;51;437;;17.67;14.43;5.75;33.62;
Февраль 17;28;327;386;67;455;;16.32;19.32;5.47;38.13;
Март 17;31;292;357;79;474;;12.70;15.52;4.94;36.46;
Апрель 17;30;406;344;62;346;;19.86;19.21;4.80;28.83;
Май 17;31;395;411;86;417;189;17.17;17.87;5.36;32.08;15.75
Июнь 17;30;134;175;110;76;17;14.89;19.44;6.56;76.00;17.00
Июль 17;31;111;155;141;107;46;13.88;19.38;7.81;21.40;9.20
Август 17;31;162;174;96;48;13;16.20;17.40;5.65;16.00;6.50
Сентябрь 17;30;448;439;78;113;37;17.90;17.65;4.33;28.25;9.25
Октябрь 17;31;370;415;91;133;79;16.82;18.86;6.50;21.40;11.60
Ноябрь 17;30;444;381;102;163;75;21.00;18.05;8.62;20.38;9.38
Декабрь 17;31;338;389;120;226;103;17.19;19.38;9.92;25.11;11.44
